,zipcode,city,latitude,longitude,dist
13736,39517,Bittkau,52.413920000000005,11.964160000000001,2890.360134272001
13737,97348,Rödelsee,49.7333,10.25,2578.46362889
13738,17121,Görmin Groß Zastrow,54.0135,13.27905,3093.7913511525
13739,24361,Haby,54.395807605948896,9.82008951008325,3055.338043089455
13740,29345,Unterlüß,52.84503,10.2907299999999,2898.496319633798
13741,78176,Blumberg (Baden),47.8333,8.53333,2360.8423097789
13742,25724,Schmedeswurth,53.9262482259261,9.04012996547493,2989.764197516876
13743,14806,Wiesenburg / Mark Benken,52.1639,12.46262,2876.3893604744
13744,25779,Fedderingen,54.2826805701412,9.131834969477671,3029.9998197897607
13745,78628,Deißlingen (Neckar) Hochhalden bei Rottweil,48.1167,8.6,2389.17681889
13746,27777,Ganderkesee,53.034209999999995,8.54221000000007,2885.5967820082005
13747,19336,Plattenburg,52.956830000000004,12.03227,2949.2013650018002
13748,19339,Plattenburg,52.956830000000004,12.03227,2949.2013650018002
13749,39638,Klüden,52.40907,11.40054,2876.6829305564997
13750,53506,Heckenbach,50.4667,7.05,2596.59030889
13751,48493,"Wettringen, Kreis Steinfurt",52.20978,7.31628000000001,2779.3890806868003
13752,34396,"Liebenau, Hessen",51.49783196324,9.28286705291748,2738.1983176362446
13753,39221,Eggersdorf bei Schönebeck,51.97616,11.71142,2838.6785667619997
13754,18337,Marlow bei Ribnitz-Damgarten Gresenhorst,54.1499,12.421560000000001,3086.5068228436003
13755,86833,"Ettringen, Wertach",48.1,10.65,2427.0325000000003
13756,85122,Hitzhofen,48.85,11.3167,2514.39019889
13757,73557,Mutlangen,48.8167,9.8,2479.1101988899995
13758,25764,Hellschen-Heringsand-Unterschaar,54.205380000000005,8.84581,3016.4715755005004
13759,49356,Diepholz,52.60584,8.37071000000003,2837.4431880097004
13760,27619,Schiffdorf,53.53111,8.65201999999999,2940.4371879124997
13761,25923,Lexgaard,54.8324648731,8.93914292609,3086.5074803128105
13762,55469,Simmern / Hunsrück,49.9833,7.5166699999999995,2554.8306067789
13763,92348,Berg bei Neumarkt in der Oberpfalz,49.3317,11.4403,2564.4970889799997
13764,37351,Kefferhausen,51.3136957546829,10.2851882751465,2738.8804698593726
13765,55758,Sensweiler,49.7833,7.2,2530.2169588899997
13766,83364,Teisendorf Wetzelsberg bei Neukirchen am Teisenberg,47.851459999999996,12.756131,2452.4811022207605
13767,31036,Eime,52.0731,9.72343000000001,2806.1528345748998
13768,37345,Jützenbach,51.5251010284515,10.378022100525,2762.5393787111193
13769,26683,Saterland,53.1033,7.6825,2878.9812771399997
13770,88045,Friedrichshafen,47.65,9.48333,2360.4560478889002
13771,88046,Friedrichshafen,47.65,9.48333,2360.4560478889002
13772,88048,Friedrichshafen,47.65,9.48333,2360.4560478889002
13773,27632,Mulsum bei Bremerhaven,53.66961,8.54733999999996,2953.484058627699
13774,79594,Inzlingen,47.5833,7.7,2323.46043889
13775,77704,Oberkirch (Baden),48.5333,8.08333,2420.8214327788996
13776,24363,Holtsee,54.399064838759,9.854920005798391,3056.3777036521915
13777,4626,Vollmershain,50.8552,12.2884,2737.2561416000003
13778,17391,Liepen bei Anklam Preetzen,53.8686,13.4764299999999,3083.4402315048974
13779,15890,Siehdichum Siehdichum,52.16369,14.44179,2929.6158528202
13780,59846,Sundern (Sauerland),51.32493,8.00333999999998,2698.3018906605
13781,17392,Pelsin,53.81143,13.67697,3082.7295070258
13782,16278,Schöneberg bei Angermünde,53.00801,14.14215,3009.8495307826
13783,65931,Frankfurt am Main Sindlingen,50.0809,8.5158,2580.61539445
13784,14913,Dahme / Mark Buckow bei Jüterbog,51.94708,13.39468,2877.9165728288
13785,3229,Luckaitztal Buchwäldchen Ziegelei,51.68953,14.005889999999999,2867.9724663129996
